id,text,detail,zone,building_type,category,regulation_ref,severity_default
CHK-001,All floor openings are covered or guarded,"Check that any holes, gaps or openings in floors are covered with fixed boards or protected by barriers. Uncovered openings are a critical fall risk.",General,All,Access & Exits,RD 1627/1997 Annex IV Part C §3,Critical
CHK-002,Emergency exits are clearly marked and unobstructed,"Verify all emergency exit signs are lit or clearly visible, doors open outwards freely and no materials are blocking the path.",General,All,Access & Exits,RD 1627/1997 Annex IV Part A §4,Critical
CHK-003,Workers are wearing hard hats in active construction zones,"Check all workers in areas with overhead work or falling object risk are wearing EN-397 certified hard hats. Remind site manager if non-compliant.",General,All,PPE,RD 1627/1997 Art.11 + RD 773/1997,Critical
CHK-004,High-visibility vests worn by all workers on site,"All workers must wear EN ISO 20471 Class 2 or higher hi-vis vests. Particularly important near vehicle movement areas.",General,All,PPE,RD 773/1997 Art.3,Minor
CHK-005,Safety footwear worn by all workers,"Workers must wear EN ISO 20345 certified safety boots (steel toe cap minimum). Check especially in areas with heavy materials.",General,All,PPE,RD 773/1997 Art.3,Minor
CHK-006,Fire extinguishers present and within inspection date,"Verify at least one extinguisher per 200m2 or per floor. Check the inspection tag - must be within the last 12 months. Correct type for site (ABC powder recommended).",General,All,Fire Safety,RD 1627/1997 Annex IV Part A §5 + CTE DB-SI,Minor
CHK-007,Safety signage visible at all entry points,"Check that hazard warning signs, PPE requirement signs and site rules are posted at all entrances. Signs must comply with RD 485/1997 pictogram standards.",Exterior,All,Signage,RD 485/1997 + RD 1627/1997 Annex IV Part A §4,Recommendation
CHK-008,Site perimeter is secured and clearly marked,"Fencing or barriers must enclose the full site perimeter. Gaps or unsecured sections allow unauthorised access.",Exterior,All,Access & Exits,RD 1627/1997 Annex IV Part A §19,Minor
CHK-009,First aid kit is stocked and accessible,"Check kit is mounted visibly within expiry dates and contains: bandages antiseptic gloves eye wash emergency contact list. Note location on report.",General,All,First Aid,RD 1627/1997 Annex IV Part A §14,Critical
CHK-010,Emergency contact numbers posted on site,"A visible sign near site entrance must show: emergency services (112) site manager mobile nearest hospital address and local Labour Inspectorate number.",General,All,First Aid,RD 1627/1997 Annex IV Part A §14,Recommendation
CHK-011,Scaffolding has guardrails on all open sides above 2m,"All scaffold platforms above 2 metres must have: main rail at min. 90cm intermediate rail and toe board at least 15cm high. Inspect fixing points for stability.",Exterior,Commercial,Scaffolding,RD 1627/1997 Annex IV Part C §3a,Critical
CHK-012,Scaffolding anchor points are secure and undamaged,"Check wall ties and anchor bolts are not corroded bent or missing. Each anchor must be load-rated for the scaffold weight. Document any defects found.",Exterior,Commercial,Scaffolding,RD 1627/1997 Annex IV Part C §1,Critical
CHK-013,Scaffolding boards are fully planked with no gaps,"No gaps larger than 25mm between boards. Boards must overhang supports by 150-300mm. Check for warped cracked or slippery boards.",Exterior,Commercial,Scaffolding,RD 1627/1997 Annex IV Part C §3,Minor
CHK-014,Electrical panels are locked and clearly labelled,"All distribution boards must be locked when unattended. Labels must show voltage circuit IDs and isolation procedure. Check for exposed wiring at entries.",Floor 1,Commercial,Electrical,RD 1627/1997 Annex IV Part A §3 + ITC-BT-17,Minor
CHK-015,Temporary electrical cables are routed safely overhead or in conduit,"No cables trailing across walkways or vehicle routes. Overhead cables must be at min. 2.5m height. All joints must be in IP44 rated enclosures.",General,Commercial,Electrical,RD 1627/1997 Annex IV Part A §3,Minor
CHK-016,Exposed wiring or open junction boxes are made safe,"Any unfinished electrical work must be isolated at the distribution board and taped with hazard tape. Log location and alert site electrician.",General,Commercial,Electrical,RD 1627/1997 Annex IV Part A §3,Critical
CHK-017,Chemical storage area is ventilated and labelled with hazard symbols,"Solvents adhesives and other chemicals must be stored in a dedicated ventilated area with GHS hazard labels. Check MSDS sheets are accessible on site.",Basement,Commercial,Hazardous Materials,RD 374/2001 + RD 1627/1997 Annex IV Part A §7,Critical
CHK-018,Hazardous waste is segregated and in sealed containers,"Chemical waste asbestos fragments and contaminated materials must be in clearly labelled sealed containers. Check waste manifest is present for removal.",General,Commercial,Hazardous Materials,RD 374/2001,Minor
CHK-019,Machinery guards are in place on all powered tools,"Angle grinders circular saws and similar tools must have blade/disc guards fitted. Check emergency stop buttons are accessible and functional.",General,Commercial,Machinery,RD 1627/1997 Annex IV Part C §8,Critical
CHK-020,Crane and hoist load limits are posted and observed,"Check load rating plate is visible on crane and hoist. No improvised lifting. Slings and shackles must be colour-coded for current inspection period.",General,Commercial,Machinery,RD 1627/1997 Annex IV Part C §6,Critical
